Test Type	Current Angle	Speed(mph)	Pressure(Pascal)	Variance(+-Pascal)
Pitch	-25	60.2	-432.9	0.6
Pitch	-10	60.6	-436.8	0.4
Pitch	20	59.8	-426.31	1.2
Yaw	5	59.7	-424.6	2.0

